_id,FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDiscargesQF,CrudeRate,CrudeRateQF,EASR
23,2009/10,S92000003,d,All,d,0-44 years,,Female,,Heart Attack,220,,14.875006,,14.50085867
24,2009/10,S92000003,d,All,d,0-44 years,,Female,,Heart Failure,77,,5.2062521,,5.280947886
25,2009/10,S92000003,d,All,d,45-64 years,,All,d,Angina,3416,,241.9093845,,246.3276311
26,2009/10,S92000003,d,All,d,45-64 years,,All,d,Coronary Heart Disease,17034,,1206.289361,,1231.34338
27,2009/10,S92000003,d,All,d,45-64 years,,All,d,Heart Attack,7069,,500.6022949,,510.3399254
28,2009/10,S92000003,d,All,d,45-64 years,,All,d,Heart Failure,1373,,97.23114314,,98.90337896
29,2009/10,S92000003,d,All,d,45-64 years,,Male,,Angina,2246,,325.1100467,,328.8113939
30,2009/10,S92000003,d,All,d,45-64 years,,Male,,Coronary Heart Disease,12646,,1830.517209,,1848.843831
31,2009/10,S92000003,d,All,d,45-64 years,,Male,,Heart Attack,5330,,771.5211705,,777.2342661
32,2009/10,S92000003,d,All,d,45-64 years,,Male,,Heart Failure,899,,130.1308691,,131.509288
33,2009/10,S92000003,d,All,d,45-64 years,,Female,,Angina,1170,,162.2170214,,163.8438683
34,2009/10,S92000003,d,All,d,45-64 years,,Female,,Coronary Heart Disease,4388,,608.3831538,,613.8429284
35,2009/10,S92000003,d,All,d,45-64 years,,Female,,Heart Attack,1739,,241.1071797,,243.4455846
36,2009/10,S92000003,d,All,d,45-64 years,,Female,,Heart Failure,474,,65.71869073,,66.29746993
37,2009/10,S92000003,d,All,d,65-74 years,,All,d,Angina,2790,,589.0226446,,601.9945115
38,2009/10,S92000003,d,All,d,65-74 years,,All,d,Coronary Heart Disease,13757,,2904.367212,,2995.023088
39,2009/10,S92000003,d,All,d,65-74 years,,All,d,Heart Attack,5048,,1065.72986,,1097.541412
40,2009/10,S92000003,d,All,d,65-74 years,,All,d,Heart Failure,2515,,530.9648571,,546.2126088
41,2009/10,S92000003,d,All,d,65-74 years,,Male,,Angina,1640,,746.2788444,,750.5308067
42,2009/10,S92000003,d,All,d,65-74 years,,Male,,Coronary Heart Disease,9092,,4137.297105,,4150.223705
43,2009/10,S92000003,d,All,d,65-74 years,,Male,,Heart Attack,3289,,1496.653121,,1500.989236
44,2009/10,S92000003,d,All,d,65-74 years,,Male,,Heart Failure,1516,,689.852883,,697.8371856
45,2009/10,S92000003,d,All,d,65-74 years,,Female,,Angina,1150,,452.9181715,,453.4582163
46,2009/10,S92000003,d,All,d,65-74 years,,Female,,Coronary Heart Disease,4665,,1837.272409,,1839.822471
47,2009/10,S92000003,d,All,d,65-74 years,,Female,,Heart Attack,1759,,692.7678814,,694.0935885
48,2009/10,S92000003,d,All,d,65-74 years,,Female,,Heart Failure,999,,393.4480463,,394.588032
49,2009/10,S92000003,d,All,d,under75 years,d,All,d,Angina,6523,,134.9123504,,147.5815056
50,2009/10,S92000003,d,All,d,under75 years,d,All,d,Coronary Heart Disease,32532,,672.8450994,,739.2766032
51,2009/10,S92000003,d,All,d,under75 years,d,All,d,Heart Attack,13069,,270.3003997,,294.5017394
52,2009/10,S92000003,d,All,d,under75 years,d,All,d,Heart Failure,4062,,84.0125659,,95.36486794
53,2009/10,S92000003,d,All,d,under75 years,d,Male,,Angina,4093,,171.9144754,,190.786556
54,2009/10,S92000003,d,All,d,under75 years,d,Male,,Coronary Heart Disease,23037,,967.6017028,,1070.148523
55,2009/10,S92000003,d,All,d,under75 years,d,Male,,Heart Attack,9351,,392.7613631,,429.4173575
56,2009/10,S92000003,d,All,d,under75 years,d,Male,,Heart Failure,2512,,105.5092016,,122.7601922
57,2009/10,S92000003,d,All,d,under75 years,d,Female,,Angina,2430,,99.01571049,,104.3764551
58,2009/10,S92000003,d,All,d,under75 years,d,Female,,Coronary Heart Disease,9495,,386.8947206,,408.4046831
59,2009/10,S92000003,d,All,d,under75 years,d,Female,,Heart Attack,3718,,151.4981118,,159.5861213
60,2009/10,S92000003,d,All,d,under75 years,d,Female,,Heart Failure,1550,,63.15816924,,67.96954368
61,2009/10,S92000003,d,All,d,75plus years,,All,d,Angina,3723,,937.9983825,,988.5094887
62,2009/10,S92000003,d,All,d,75plus years,,All,d,Coronary Heart Disease,15412,,3883.005928,,4163.324435
63,2009/10,S92000003,d,All,d,75plus years,,All,d,Heart Attack,7842,,1975.767745,,2122.343999
64,2009/10,S92000003,d,All,d,75plus years,,All,d,Heart Failure,7126,,1795.373751,,1949.483153
65,2009/10,S92000003,d,All,d,75plus years,,Male,,Angina,1725,,1141.371233,,1171.3247
66,2009/10,S92000003,d,All,d,75plus years,,Male,,Coronary Heart Disease,7844,,5190.096206,,5263.77048
67,2009/10,S92000003,d,All,d,75plus years,,Male,,Heart Attack,3735,,2471.316845,,2596.29329
68,2009/10,S92000003,d,All,d,75plus years,,Male,,Heart Failure,3287,,2174.891156,,2346.959577
69,2009/10,S92000003,d,All,d,75plus years,,Female,,Angina,1998,,812.9386634,,805.6942777
70,2009/10,S92000003,d,All,d,75plus years,,Female,,Coronary Heart Disease,7568,,3079.239141,,3062.878391
71,2009/10,S92000003,d,All,d,75plus years,,Female,,Heart Attack,4107,,1671.040586,,1648.394708
72,2009/10,S92000003,d,All,d,75plus years,,Female,,Heart Failure,3839,,1561.997762,,1552.00673
73,2009/10,S92000003,d,Elective,,All,d,All,d,Angina,694,,13.26477953,,14.63323239
74,2009/10,S92000003,d,Elective,,All,d,All,d,Coronary Heart Disease,9287,,177.5072154,,199.0060194
75,2009/10,S92000003,d,Elective,,All,d,All,d,Heart Attack,338,,6.460368126,,7.204298132
76,2009/10,S92000003,d,Elective,,All,d,All,d,Heart Failure,510,,9.747892735,,11.35734382
77,2009/10,S92000003,d,Elective,,All,d,Male,,Angina,431,,17.02232531,,19.0853047
78,2009/10,S92000003,d,Elective,,All,d,Male,,Coronary Heart Disease,6576,,259.7188196,,292.7579545
79,2009/10,S92000003,d,Elective,,All,d,Male,,Heart Attack,239,,9.439294083,,10.59160731
80,2009/10,S92000003,d,Elective,,All,d,Male,,Heart Failure,326,,12.87535511,,15.71930861
81,2009/10,S92000003,d,Elective,,All,d,Female,,Angina,263,,9.740989677,,10.18116009
82,2009/10,S92000003,d,Elective,,All,d,Female,,Coronary Heart Disease,2711,,100.4099734,,105.2540843
83,2009/10,S92000003,d,Elective,,All,d,Female,,Heart Attack,99,,3.666760373,,3.816988954
84,2009/10,S92000003,d,Elective,,All,d,Female,,Heart Failure,184,,6.814988976,,6.995379025
85,2009/10,S92000003,d,Elective,,0-44 years,,All,d,Angina,21,,0.71205123,,0.702245064
86,2009/10,S92000003,d,Elective,,0-44 years,,All,d,Coronary Heart Disease,267,,9.053222778,,8.983021936
87,2009/10,S92000003,d,Elective,,0-44 years,,All,d,Heart Attack,17,,0.576422424,,0.579936179
88,2009/10,S92000003,d,Elective,,0-44 years,,All,d,Heart Failure,22,,0.745958431,,0.744722414
89,2009/10,S92000003,d,Elective,,0-44 years,,Male,,Angina,15,,1.020245063,,0.993697346
90,2009/10,S92000003,d,Elective,,0-44 years,,Male,,Coronary Heart Disease,202,,13.73930018,,13.7283227
91,2009/10,S92000003,d,Elective,,0-44 years,,Male,,Heart Attack,13,,0.884212388,,0.880122527
92,2009/10,S92000003,d,Elective,,0-44 years,,Male,,Heart Failure,10,,0.680163375,,0.684953516
93,2009/10,S92000003,d,Elective,,0-44 years,,Female,,Angina,6,,0.405681982,,0.410792782
94,2009/10,S92000003,d,Elective,,0-44 years,,Female,,Coronary Heart Disease,65,,4.394888137,,4.237721173
95,2009/10,S92000003,d,Elective,,0-44 years,,Female,,Heart Attack,4,,0.270454655,,0.279749831
96,2009/10,S92000003,d,Elective,,0-44 years,,Female,,Heart Failure,12,,0.811363964,,0.804491312
97,2009/10,S92000003,d,Elective,,45-64 years,,All,d,Angina,329,,23.29864974,,23.80588598
98,2009/10,S92000003,d,Elective,,45-64 years,,All,d,Coronary Heart Disease,4094,,289.9230153,,296.4742873
99,2009/10,S92000003,d,Elective,,45-64 years,,All,d,Heart Attack,138,,9.772685909,,10.05256198
100,2009/10,S92000003,d,Elective,,45-64 years,,All,d,Heart Failure,140,,9.914319039,,10.12396846
101,2009/10,S92000003,d,Elective,,45-64 years,,Male,,Angina,215,,31.12139806,,31.56330189
102,2009/10,S92000003,d,Elective,,45-64 years,,Male,,Coronary Heart Disease,3086,,446.7006252,,452.0596799
103,2009/10,S92000003,d,Elective,,45-64 years,,Male,,Heart Attack,110,,15.92257575,,16.13363198
104,2009/10,S92000003,d,Elective,,45-64 years,,Male,,Heart Failure,103,,14.90932093,,15.06551647
105,2009/10,S92000003,d,Elective,,45-64 years,,Female,,Angina,114,,15.80576106,,16.04847008
106,2009/10,S92000003,d,Elective,,45-64 years,,Female,,Coronary Heart Disease,1008,,139.7562031,,140.8888947
107,2009/10,S92000003,d,Elective,,45-64 years,,Female,,Heart Attack,28,,3.882116752,,3.971491974
108,2009/10,S92000003,d,Elective,,45-64 years,,Female,,Heart Failure,37,,5.129939994,,5.182420452
109,2009/10,S92000003,d,Elective,,65-74 years,,All,d,Angina,225,,47.50182618,,48.68223176
110,2009/10,S92000003,d,Elective,,65-74 years,,All,d,Coronary Heart Disease,3232,,682.3373432,,704.6032491
111,2009/10,S92000003,d,Elective,,65-74 years,,All,d,Heart Attack,107,,22.58975734,,23.12698541
112,2009/10,S92000003,d,Elective,,65-74 years,,All,d,Heart Failure,159,,33.56795717,,34.86728064
113,2009/10,S92000003,d,Elective,,65-74 years,,Male,,Angina,143,,65.07187484,,65.07407279
114,2009/10,S92000003,d,Elective,,65-74 years,,Male,,Coronary Heart Disease,2220,,1010.206728,,1010.439324
115,2009/10,S92000003,d,Elective,,65-74 years,,Male,,Heart Attack,71,,32.30841338,,32.05589937
116,2009/10,S92000003,d,Elective,,65-74 years,,Male,,Heart Failure,107,,48.69014411,,49.2320783
117,2009/10,S92000003,d,Elective,,65-74 years,,Female,,Angina,82,,32.29503484,,32.29039073
118,2009/10,S92000003,d,Elective,,65-74 years,,Female,,Coronary Heart Disease,1012,,398.5679909,,398.7671741
119,2009/10,S92000003,d,Elective,,65-74 years,,Female,,Heart Attack,36,,14.17830798,,14.19807145
120,2009/10,S92000003,d,Elective,,65-74 years,,Female,,Heart Failure,52,,20.47977819,,20.50248297
121,2009/10,S92000003,d,Elective,,under75 years,d,All,d,Angina,575,,11.89247302,,12.96638072
122,2009/10,S92000003,d,Elective,,under75 years,d,All,d,Coronary Heart Disease,7593,,157.0426915,,172.9668782
123,2009/10,S92000003,d,Elective,,under75 years,d,All,d,Heart Attack,262,,5.418831183,,5.940030691
124,2009/10,S92000003,d,Elective,,under75 years,d,All,d,Heart Failure,321,,6.639102327,,7.413259574
125,2009/10,S92000003,d,Elective,,under75 years,d,Male,,Angina,373,,15.66677237,,17.28972441
126,2009/10,S92000003,d,Elective,,under75 years,d,Male,,Coronary Heart Disease,5508,,231.3474054,,256.3793829
127,2009/10,S92000003,d,Elective,,under75 years,d,Male,,Heart Attack,194,,8.148401716,,8.919283597
128,2009/10,S92000003,d,Elective,,under75 years,d,Male,,Heart Failure,220,,9.240455554,,10.47429119
129,2009/10,S92000003,d,Elective,,under75 years,d,Female,,Angina,202,,8.230935605,,8.643037033
130,2009/10,S92000003,d,Elective,,under75 years,d,Female,,Coronary Heart Disease,2085,,84.95792444,,89.55437343
131,2009/10,S92000003,d,Elective,,under75 years,d,Female,,Heart Attack,68,,2.770810006,,2.960777785
132,2009/10,S92000003,d,Elective,,under75 years,d,Female,,Heart Failure,101,,4.115467802,,4.352227957
133,2009/10,S92000003,d,Elective,,75plus years,,All,d,Angina,119,,29.98168346,,31.48695486
134,2009/10,S92000003,d,Elective,,75plus years,,All,d,Coronary Heart Disease,1694,,426.7980822,,462.2906696
135,2009/10,S92000003,d,Elective,,75plus years,,All,d,Heart Attack,76,,19.14796591,,19.98744671
136,2009/10,S92000003,d,Elective,,75plus years,,All,d,Heart Failure,189,,47.61796785,,51.23641784
137,2009/10,S92000003,d,Elective,,75plus years,,Male,,Angina,58,,38.37654002,,37.24061654
138,2009/10,S92000003,d,Elective,,75plus years,,Male,,Coronary Heart Disease,1068,,706.657668,,660.5857339
139,2009/10,S92000003,d,Elective,,75plus years,,Male,,Heart Attack,45,,29.77490174,,27.5006582
140,2009/10,S92000003,d,Elective,,75plus years,,Male,,Heart Failure,106,,70.13643522,,68.75226252
141,2009/10,S92000003,d,Elective,,75plus years,,Female,,Angina,61,,24.81944868,,25.73329318
142,2009/10,S92000003,d,Elective,,75plus years,,Female,,Coronary Heart Disease,626,,254.7045062,,263.9956054
143,2009/10,S92000003,d,Elective,,75plus years,,Female,,Heart Attack,31,,12.61316245,,12.47423521
144,2009/10,S92000003,d,Elective,,75plus years,,Female,,Heart Failure,83,,33.77072526,,33.72057316
145,2009/10,S92000003,d,Emergency,,All,d,All,d,Angina,6290,,120.2240104,,136.7015047
146,2009/10,S92000003,d,Emergency,,All,d,All,d,Coronary Heart Disease,16531,,315.9655192,,362.8341571
147,2009/10,S92000003,d,Emergency,,All,d,All,d,Heart Attack,8922,,170.5307823,,197.0286743
148,2009/10,S92000003,d,Emergency,,All,d,All,d,Heart Failure,5876,,112.3110151,,138.8332742
149,2009/10,S92000003,d,Emergency,,All,d,Male,,Angina,3499,,138.1928452,,168.0616546
150,2009/10,S92000003,d,Emergency,,All,d,Male,,Coronary Heart Disease,9900,,391.0000478,,475.8396188
151,2009/10,S92000003,d,Emergency,,All,d,Male,,Heart Attack,5592,,220.8557846,,268.9559507
152,2009/10,S92000003,d,Emergency,,All,d,Male,,Heart Failure,3031,,119.7092066,,171.3516891
153,2009/10,S92000003,d,Emergency,,All,d,Female,,Angina,2791,,103.3730121,,105.3413549
154,2009/10,S92000003,d,Emergency,,All,d,Female,,Coronary Heart Disease,6631,,245.598869,,249.8286954
155,2009/10,S92000003,d,Emergency,,All,d,Female,,Heart Attack,3330,,123.3364853,,125.101398
156,2009/10,S92000003,d,Emergency,,All,d,Female,,Heart Failure,2845,,105.3730632,,106.3148594
157,2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Angina,213,,7.222233901,,7.209282807
158,2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Coronary Heart Disease,683,,23.15861857,,23.30131499
159,2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Heart Attack,423,,14.3427462,,14.46611227
160,2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Heart Failure,75,,2.543040106,,2.55150852
161,2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Angina,138,,9.386254578,,9.504545785
162,2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Coronary Heart Disease,503,,34.21221777,,34.70965416
163,2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Heart Attack,332,,22.58142406,,22.93773863
164,2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Heart Failure,44,,2.992718851,,3.00260533
165,2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Angina,75,,5.071024773,,4.914019829
166,2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Coronary Heart Disease,180,,12.17045946,,11.89297581
167,2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Heart Attack,91,,6.152843391,,5.994485913
168,2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Heart Failure,31,,2.096023573,,2.100411711
169,2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Angina,2085,,147.6525371,,150.0247365
170,2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Coronary Heart Disease,5510,,390.1992707,,397.1978762
171,2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Heart Attack,3009,,213.0870428,,217.1099801
172,2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Heart Failure,689,,48.79261298,,49.66020233
173,2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Angina,1336,,193.38692,,195.4342405
174,2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Coronary Heart Disease,3896,,563.948683,,568.6673034
175,2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Heart Attack,2272,,328.8735646,,331.1220245
176,2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Heart Failure,441,,63.8350537,,64.55233998
177,2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Angina,749,,103.8466231,,104.6152325
178,2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Coronary Heart Disease,1614,,223.7763013,,225.7284489
179,2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Heart Attack,737,,102.1828588,,103.0979356
180,2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Heart Failure,248,,34.38446266,,34.76806467
181,2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Angina,1682,,355.1025406,,361.9779939
182,2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Coronary Heart Disease,4166,,879.5227017,,901.7602526
183,2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Heart Attack,2101,,443.5614969,,456.76854
184,2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Heart Failure,1294,,273.1882803,,280.8442873
185,2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Angina,966,,439.5764413,,441.6495349
186,2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Coronary Heart Disease,2577,,1172.658891,,1176.726782
187,2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Heart Attack,1369,,622.9608158,,624.7093142
188,2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Heart Failure,775,,352.6622588,,356.7061276
189,2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Angina,716,,281.990792,,282.306453
190,2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Coronary Heart Disease,1589,,625.8147604,,626.7937232
191,2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Heart Attack,732,,288.2922622,,288.8277658
192,2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Heart Failure,519,,204.40394,,204.9824471
193,2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Angina,3980,,82.31659583,,89.73324974
194,2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Coronary Heart Disease,10359,,214.2506573,,233.5439273
195,2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Heart Attack,5533,,114.4366143,,124.5126836
196,2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Heart Failure,2058,,42.56471212,,48.38067955
197,2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Angina,2440,,102.4850525,,113.5117908
198,2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Coronary Heart Disease,6976,,293.0064452,,321.9740228
199,2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Heart Attack,3973,,166.8742269,,182.1188938
200,2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Heart Failure,1260,,52.92260908,,61.73837403
201,2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Angina,1540,,62.75069718,,65.95470867
202,2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Coronary Heart Disease,3383,,137.8477978,,145.1138317
203,2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Heart Attack,1560,,63.5656413,,66.90647335
204,2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Heart Failure,798,,32.51627036,,35.02298507
205,2009/10,S92000003,d,Emergency,,75plus years,,All,d,Angina,2310,,581.9973848,,611.6027495
206,2009/10,S92000003,d,Emergency,,75plus years,,All,d,Coronary Heart Disease,6172,,1555.016389,,1670.102037
207,2009/10,S92000003,d,Emergency,,75plus years,,All,d,Heart Attack,3389,,853.8481113,,930.2459144
208,2009/10,S92000003,d,Emergency,,75plus years,,All,d,Heart Failure,3818,,961.9333399,,1053.40951
209,2009/10,S92000003,d,Emergency,,75plus years,,Male,,Angina,1059,,700.7026877,,719.6213882
210,2009/10,S92000003,d,Emergency,,75plus years,,Male,,Coronary Heart Disease,2924,,1934.706949,,2031.591756
211,2009/10,S92000003,d,Emergency,,75plus years,,Male,,Heart Attack,1619,,1071.234798,,1146.975082
212,2009/10,S92000003,d,Emergency,,75plus years,,Male,,Heart Failure,1771,,1171.8078,,1279.664097
213,2009/10,S92000003,d,Emergency,,75plus years,,Female,,Angina,1251,,509.0021361,,503.5841108
214,2009/10,S92000003,d,Emergency,,75plus years,,Female,,Coronary Heart Disease,3248,,1321.533923,,1308.612318
215,2009/10,S92000003,d,Emergency,,75plus years,,Female,,Heart Attack,1770,,720.170888,,713.5167469
216,2009/10,S92000003,d,Emergency,,75plus years,,Female,,Heart Failure,2047,,832.8755976,,827.154922
217,2009/10,S92000003,d,Transfer,,All,d,All,d,Angina,3262,,62.34828647,,71.93028696
218,2009/10,S92000003,d,Transfer,,All,d,All,d,Coronary Heart Disease,22126,,422.9056366,,485.6007316
219,2009/10,S92000003,d,Transfer,,All,d,All,d,Heart Attack,11651,,222.6915652,,254.7745703
220,2009/10,S92000003,d,Transfer,,All,d,All,d,Heart Failure,4802,,91.78309983,,112.0448955
221,2009/10,S92000003,d,Transfer,,All,d,Male,,Angina,1888,,74.56647376,,91.88802969
222,2009/10,S92000003,d,Transfer,,All,d,Male,,Coronary Heart Disease,14405,,568.924817,,678.9769261
223,2009/10,S92000003,d,Transfer,,All,d,Male,,Heart Attack,7255,,286.5358936,,344.8886334
224,2009/10,S92000003,d,Transfer,,All,d,Male,,Heart Failure,2442,,96.44667845,,135.8671391
225,2009/10,S92000003,d,Transfer,,All,d,Female,,Angina,1374,,50.89018942,,51.97254423
226,2009/10,S92000003,d,Transfer,,All,d,Female,,Coronary Heart Disease,7721,,285.9702711,,292.2245371
227,2009/10,S92000003,d,Transfer,,All,d,Female,,Heart Attack,4396,,162.8189757,,164.6605072
228,2009/10,S92000003,d,Transfer,,All,d,Female,,Heart Failure,2360,,87.40964121,,88.222652
229,2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Angina,83,,2.814297717,,2.853146451
230,2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Coronary Heart Disease,791,,26.82059632,,26.89767972
231,2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Heart Attack,512,,17.36048712,,17.3884966
232,2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Heart Failure,77,,2.610854509,,2.667306979
233,2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Angina,54,,3.672882226,,3.714741851
234,2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Coronary Heart Disease,594,,40.40170449,,40.66952658
235,2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Heart Attack,387,,26.32232262,,26.55037027
236,2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Heart Failure,43,,2.924702514,,2.958569095
237,2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Angina,29,,1.960796246,,1.991551052
238,2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Coronary Heart Disease,197,,13.31989174,,13.12583286
239,2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Heart Attack,125,,8.451707955,,8.226622929
240,2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Heart Failure,34,,2.298864564,,2.376044863
241,2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Angina,1002,,70.95819769,,72.49700859
242,2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Coronary Heart Disease,7430,,526.1670747,,537.6712164
243,2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Heart Attack,3922,,277.7425662,,283.1773833
244,2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Heart Failure,544,,38.52421112,,39.11920817
245,2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Angina,695,,100.6017286,,101.8138515
246,2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Coronary Heart Disease,5664,,819.8679005,,828.116848
247,2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Heart Attack,2948,,426.7250301,,429.9786096
248,2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Heart Failure,355,,51.38649447,,51.89143153
249,2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Angina,307,,42.56463724,,43.18016566
250,2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Coronary Heart Disease,1766,,244.8506494,,247.2255847
251,2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Heart Attack,974,,135.0422042,,136.3761571
252,2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Heart Failure,189,,26.20428808,,26.3469848
253,2009/10,S92000003,d,Transfer,,65-74 years,,All,d,Angina,883,,186.4182779,,191.3342858
254,2009/10,S92000003,d,Transfer,,65-74 years,,All,d,Coronary Heart Disease,6359,,1342.507167,,1388.659586
255,2009/10,S92000003,d,Transfer,,65-74 years,,All,d,Heart Attack,2840,,599.578606,,617.645887
256,2009/10,S92000003,d,Transfer,,65-74 years,,All,d,Heart Failure,1062,,224.2086196,,230.5010409
257,2009/10,S92000003,d,Transfer,,65-74 years,,Male,,Angina,531,,241.6305283,,243.807199
258,2009/10,S92000003,d,Transfer,,65-74 years,,Male,,Coronary Heart Disease,4295,,1954.431486,,1963.057599
