"","year","ca","age_group","sex","diagnosis","number_of_deaths","crude_rate","LA_Name"
"25",2009,"S92000003","45-64 years","Female","Cerebrovascular Disease",168,23.29,NA
"26",2009,"S92000003","45-64 years","Female","Stroke",88,12.2,NA
"27",2009,"S92000003","45-64 years","Female","Subarachnoid Haemorrhage",51,7.07,NA
"28",2009,"S92000003","65-74 years","All","Cerebrovascular Disease",627,132.37,NA
"29",2009,"S92000003","65-74 years","All","Stroke",398,84.03,NA
"30",2009,"S92000003","65-74 years","All","Subarachnoid Haemorrhage",33,6.97,NA
"31",2009,"S92000003","65-74 years","Male","Cerebrovascular Disease",329,149.71,NA
"32",2009,"S92000003","65-74 years","Male","Stroke",203,92.37,NA
"33",2009,"S92000003","65-74 years","Male","Subarachnoid Haemorrhage",10,4.55,NA
"34",2009,"S92000003","65-74 years","Female","Cerebrovascular Disease",298,117.36,NA
"35",2009,"S92000003","65-74 years","Female","Stroke",195,76.8,NA
"36",2009,"S92000003","65-74 years","Female","Subarachnoid Haemorrhage",23,9.06,NA
"37",2009,"S92000003","under75 years","All","Cerebrovascular Disease",1045,21.61,NA
"38",2009,"S92000003","under75 years","All","Stroke",625,12.93,NA
"39",2009,"S92000003","under75 years","All","Subarachnoid Haemorrhage",141,2.92,NA
"40",2009,"S92000003","under75 years","Male","Cerebrovascular Disease",554,23.27,NA
"41",2009,"S92000003","under75 years","Male","Stroke",333,13.99,NA
"42",2009,"S92000003","under75 years","Male","Subarachnoid Haemorrhage",53,2.23,NA
"43",2009,"S92000003","under75 years","Female","Cerebrovascular Disease",491,20.01,NA
"44",2009,"S92000003","under75 years","Female","Stroke",292,11.9,NA
"45",2009,"S92000003","under75 years","Female","Subarachnoid Haemorrhage",88,3.59,NA
"46",2009,"S92000003","75plus years","All","Cerebrovascular Disease",3866,974.03,NA
"47",2009,"S92000003","75plus years","All","Stroke",2107,530.85,NA
"48",2009,"S92000003","75plus years","All","Subarachnoid Haemorrhage",48,12.09,NA
"49",2009,"S92000003","75plus years","Male","Cerebrovascular Disease",1289,852.89,NA
"50",2009,"S92000003","75plus years","Male","Stroke",655,433.39,NA
"51",2009,"S92000003","75plus years","Male","Subarachnoid Haemorrhage",11,7.28,NA
"52",2009,"S92000003","75plus years","Female","Cerebrovascular Disease",2577,1048.52,NA
"53",2009,"S92000003","75plus years","Female","Stroke",1452,590.78,NA
"54",2009,"S92000003","75plus years","Female","Subarachnoid Haemorrhage",37,15.05,NA
"55",2009,"S12000005","All","All","Cerebrovascular Disease",42,81.89,"Clackmannanshire"
"56",2009,"S12000005","All","All","Stroke",23,44.84,"Clackmannanshire"
"57",2009,"S12000005","All","All","Subarachnoid Haemorrhage",3,5.85,"Clackmannanshire"
"58",2009,"S12000005","All","Male","Cerebrovascular Disease",12,47.99,"Clackmannanshire"
"59",2009,"S12000005","All","Male","Stroke",7,27.99,"Clackmannanshire"
"60",2009,"S12000005","All","Male","Subarachnoid Haemorrhage",1,4,"Clackmannanshire"
"61",2009,"S12000005","All","Female","Cerebrovascular Disease",30,114.14,"Clackmannanshire"
"62",2009,"S12000005","All","Female","Stroke",16,60.88,"Clackmannanshire"
"63",2009,"S12000005","All","Female","Subarachnoid Haemorrhage",2,7.61,"Clackmannanshire"
"64",2009,"S12000005","0-44 years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"65",2009,"S12000005","0-44 years","All","Stroke",0,0,"Clackmannanshire"
"66",2009,"S12000005","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"67",2009,"S12000005","0-44 years","Male","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"68",2009,"S12000005","0-44 years","Male","Stroke",0,0,"Clackmannanshire"
"69",2009,"S12000005","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"70",2009,"S12000005","0-44 years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"71",2009,"S12000005","0-44 years","Female","Stroke",0,0,"Clackmannanshire"
"72",2009,"S12000005","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"73",2009,"S12000005","45-64 years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"74",2009,"S12000005","45-64 years","All","Stroke",NA,NA,"Clackmannanshire"
"75",2009,"S12000005","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"76",2009,"S12000005","45-64 years","Male","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"77",2009,"S12000005","45-64 years","Male","Stroke",NA,NA,"Clackmannanshire"
"78",2009,"S12000005","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"79",2009,"S12000005","45-64 years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"80",2009,"S12000005","45-64 years","Female","Stroke",NA,NA,"Clackmannanshire"
"81",2009,"S12000005","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"82",2009,"S12000005","65-74 years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"83",2009,"S12000005","65-74 years","All","Stroke",NA,NA,"Clackmannanshire"
"84",2009,"S12000005","65-74 years","All","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"85",2009,"S12000005","65-74 years","Male","Cerebrovascular Disease",0,0,"Clackmannanshire"
"86",2009,"S12000005","65-74 years","Male","Stroke",0,0,"Clackmannanshire"
"87",2009,"S12000005","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"88",2009,"S12000005","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"89",2009,"S12000005","65-74 years","Female","Stroke",NA,NA,"Clackmannanshire"
"90",2009,"S12000005","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"91",2009,"S12000005","under75 years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"92",2009,"S12000005","under75 years","All","Stroke",NA,NA,"Clackmannanshire"
"93",2009,"S12000005","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"94",2009,"S12000005","under75 years","Male","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"95",2009,"S12000005","under75 years","Male","Stroke",NA,NA,"Clackmannanshire"
"96",2009,"S12000005","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"97",2009,"S12000005","under75 years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"98",2009,"S12000005","under75 years","Female","Stroke",NA,NA,"Clackmannanshire"
"99",2009,"S12000005","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Clackmannanshire"
"100",2009,"S12000005","75plus years","All","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"101",2009,"S12000005","75plus years","All","Stroke",NA,NA,"Clackmannanshire"
"102",2009,"S12000005","75plus years","All","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"103",2009,"S12000005","75plus years","Male","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"104",2009,"S12000005","75plus years","Male","Stroke",NA,NA,"Clackmannanshire"
"105",2009,"S12000005","75plus years","Male","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"106",2009,"S12000005","75plus years","Female","Cerebrovascular Disease",NA,NA,"Clackmannanshire"
"107",2009,"S12000005","75plus years","Female","Stroke",NA,NA,"Clackmannanshire"
"108",2009,"S12000005","75plus years","Female","Subarachnoid Haemorrhage",0,0,"Clackmannanshire"
"109",2009,"S12000006","All","All","Cerebrovascular Disease",153,101.22,"Dumfries and Galloway"
"110",2009,"S12000006","All","All","Stroke",97,64.17,"Dumfries and Galloway"
"111",2009,"S12000006","All","All","Subarachnoid Haemorrhage",8,5.29,"Dumfries and Galloway"
"112",2009,"S12000006","All","Male","Cerebrovascular Disease",55,75.16,"Dumfries and Galloway"
"113",2009,"S12000006","All","Male","Stroke",31,42.36,"Dumfries and Galloway"
"114",2009,"S12000006","All","Male","Subarachnoid Haemorrhage",1,1.37,"Dumfries and Galloway"
"115",2009,"S12000006","All","Female","Cerebrovascular Disease",98,125.67,"Dumfries and Galloway"
"116",2009,"S12000006","All","Female","Stroke",66,84.64,"Dumfries and Galloway"
"117",2009,"S12000006","All","Female","Subarachnoid Haemorrhage",7,8.98,"Dumfries and Galloway"
"118",2009,"S12000006","0-44 years","All","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"119",2009,"S12000006","0-44 years","All","Stroke",NA,NA,"Dumfries and Galloway"
"120",2009,"S12000006","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"121",2009,"S12000006","0-44 years","Male","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"122",2009,"S12000006","0-44 years","Male","Stroke",NA,NA,"Dumfries and Galloway"
"123",2009,"S12000006","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"Dumfries and Galloway"
"124",2009,"S12000006","0-44 years","Female","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"125",2009,"S12000006","0-44 years","Female","Stroke",0,0,"Dumfries and Galloway"
"126",2009,"S12000006","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"127",2009,"S12000006","45-64 years","All","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"128",2009,"S12000006","45-64 years","All","Stroke",NA,NA,"Dumfries and Galloway"
"129",2009,"S12000006","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"130",2009,"S12000006","45-64 years","Male","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"131",2009,"S12000006","45-64 years","Male","Stroke",NA,NA,"Dumfries and Galloway"
"132",2009,"S12000006","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"133",2009,"S12000006","45-64 years","Female","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"134",2009,"S12000006","45-64 years","Female","Stroke",NA,NA,"Dumfries and Galloway"
"135",2009,"S12000006","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"136",2009,"S12000006","65-74 years","All","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"137",2009,"S12000006","65-74 years","All","Stroke",NA,NA,"Dumfries and Galloway"
"138",2009,"S12000006","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"139",2009,"S12000006","65-74 years","Male","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"140",2009,"S12000006","65-74 years","Male","Stroke",NA,NA,"Dumfries and Galloway"
"141",2009,"S12000006","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"Dumfries and Galloway"
"142",2009,"S12000006","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"143",2009,"S12000006","65-74 years","Female","Stroke",NA,NA,"Dumfries and Galloway"
"144",2009,"S12000006","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"145",2009,"S12000006","under75 years","All","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"146",2009,"S12000006","under75 years","All","Stroke",NA,NA,"Dumfries and Galloway"
"147",2009,"S12000006","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"148",2009,"S12000006","under75 years","Male","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"149",2009,"S12000006","under75 years","Male","Stroke",NA,NA,"Dumfries and Galloway"
"150",2009,"S12000006","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"151",2009,"S12000006","under75 years","Female","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"152",2009,"S12000006","under75 years","Female","Stroke",NA,NA,"Dumfries and Galloway"
"153",2009,"S12000006","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"154",2009,"S12000006","75plus years","All","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"155",2009,"S12000006","75plus years","All","Stroke",NA,NA,"Dumfries and Galloway"
"156",2009,"S12000006","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"157",2009,"S12000006","75plus years","Male","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"158",2009,"S12000006","75plus years","Male","Stroke",NA,NA,"Dumfries and Galloway"
"159",2009,"S12000006","75plus years","Male","Subarachnoid Haemorrhage",0,0,"Dumfries and Galloway"
"160",2009,"S12000006","75plus years","Female","Cerebrovascular Disease",NA,NA,"Dumfries and Galloway"
"161",2009,"S12000006","75plus years","Female","Stroke",NA,NA,"Dumfries and Galloway"
"162",2009,"S12000006","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"Dumfries and Galloway"
"163",2009,"S12000008","All","All","Cerebrovascular Disease",108,88.44,"East Ayrshire"
"164",2009,"S12000008","All","All","Stroke",58,47.5,"East Ayrshire"
"165",2009,"S12000008","All","All","Subarachnoid Haemorrhage",6,4.91,"East Ayrshire"
"166",2009,"S12000008","All","Male","Cerebrovascular Disease",39,66.02,"East Ayrshire"
"167",2009,"S12000008","All","Male","Stroke",23,38.93,"East Ayrshire"
"168",2009,"S12000008","All","Male","Subarachnoid Haemorrhage",3,5.08,"East Ayrshire"
"169",2009,"S12000008","All","Female","Cerebrovascular Disease",69,109.47,"East Ayrshire"
"170",2009,"S12000008","All","Female","Stroke",35,55.53,"East Ayrshire"
"171",2009,"S12000008","All","Female","Subarachnoid Haemorrhage",3,4.76,"East Ayrshire"
"172",2009,"S12000008","0-44 years","All","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"173",2009,"S12000008","0-44 years","All","Stroke",NA,NA,"East Ayrshire"
"174",2009,"S12000008","0-44 years","All","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"175",2009,"S12000008","0-44 years","Male","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"176",2009,"S12000008","0-44 years","Male","Stroke",NA,NA,"East Ayrshire"
"177",2009,"S12000008","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"178",2009,"S12000008","0-44 years","Female","Cerebrovascular Disease",0,0,"East Ayrshire"
"179",2009,"S12000008","0-44 years","Female","Stroke",0,0,"East Ayrshire"
"180",2009,"S12000008","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"181",2009,"S12000008","45-64 years","All","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"182",2009,"S12000008","45-64 years","All","Stroke",NA,NA,"East Ayrshire"
"183",2009,"S12000008","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"184",2009,"S12000008","45-64 years","Male","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"185",2009,"S12000008","45-64 years","Male","Stroke",NA,NA,"East Ayrshire"
"186",2009,"S12000008","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"187",2009,"S12000008","45-64 years","Female","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"188",2009,"S12000008","45-64 years","Female","Stroke",NA,NA,"East Ayrshire"
"189",2009,"S12000008","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"190",2009,"S12000008","65-74 years","All","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"191",2009,"S12000008","65-74 years","All","Stroke",NA,NA,"East Ayrshire"
"192",2009,"S12000008","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"193",2009,"S12000008","65-74 years","Male","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"194",2009,"S12000008","65-74 years","Male","Stroke",NA,NA,"East Ayrshire"
"195",2009,"S12000008","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"196",2009,"S12000008","65-74 years","Female","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"197",2009,"S12000008","65-74 years","Female","Stroke",NA,NA,"East Ayrshire"
"198",2009,"S12000008","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"199",2009,"S12000008","under75 years","All","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"200",2009,"S12000008","under75 years","All","Stroke",NA,NA,"East Ayrshire"
"201",2009,"S12000008","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"202",2009,"S12000008","under75 years","Male","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"203",2009,"S12000008","under75 years","Male","Stroke",NA,NA,"East Ayrshire"
"204",2009,"S12000008","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"205",2009,"S12000008","under75 years","Female","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"206",2009,"S12000008","under75 years","Female","Stroke",NA,NA,"East Ayrshire"
"207",2009,"S12000008","under75 years","Female","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"208",2009,"S12000008","75plus years","All","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"209",2009,"S12000008","75plus years","All","Stroke",NA,NA,"East Ayrshire"
"210",2009,"S12000008","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"211",2009,"S12000008","75plus years","Male","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"212",2009,"S12000008","75plus years","Male","Stroke",NA,NA,"East Ayrshire"
"213",2009,"S12000008","75plus years","Male","Subarachnoid Haemorrhage",0,0,"East Ayrshire"
"214",2009,"S12000008","75plus years","Female","Cerebrovascular Disease",NA,NA,"East Ayrshire"
"215",2009,"S12000008","75plus years","Female","Stroke",NA,NA,"East Ayrshire"
"216",2009,"S12000008","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"East Ayrshire"
"217",2009,"S12000010","All","All","Cerebrovascular Disease",104,105.76,"East Lothian"
"218",2009,"S12000010","All","All","Stroke",56,56.95,"East Lothian"
"219",2009,"S12000010","All","All","Subarachnoid Haemorrhage",5,5.08,"East Lothian"
"220",2009,"S12000010","All","Male","Cerebrovascular Disease",40,84.88,"East Lothian"
"221",2009,"S12000010","All","Male","Stroke",23,48.81,"East Lothian"
"222",2009,"S12000010","All","Male","Subarachnoid Haemorrhage",2,4.24,"East Lothian"
"223",2009,"S12000010","All","Female","Cerebrovascular Disease",64,124.96,"East Lothian"
"224",2009,"S12000010","All","Female","Stroke",33,64.43,"East Lothian"
"225",2009,"S12000010","All","Female","Subarachnoid Haemorrhage",3,5.86,"East Lothian"
"226",2009,"S12000010","0-44 years","All","Cerebrovascular Disease",0,0,"East Lothian"
"227",2009,"S12000010","0-44 years","All","Stroke",0,0,"East Lothian"
"228",2009,"S12000010","0-44 years","All","Subarachnoid Haemorrhage",0,0,"East Lothian"
"229",2009,"S12000010","0-44 years","Male","Cerebrovascular Disease",0,0,"East Lothian"
"230",2009,"S12000010","0-44 years","Male","Stroke",0,0,"East Lothian"
"231",2009,"S12000010","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"East Lothian"
"232",2009,"S12000010","0-44 years","Female","Cerebrovascular Disease",0,0,"East Lothian"
"233",2009,"S12000010","0-44 years","Female","Stroke",0,0,"East Lothian"
"234",2009,"S12000010","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"East Lothian"
"235",2009,"S12000010","45-64 years","All","Cerebrovascular Disease",NA,NA,"East Lothian"
"236",2009,"S12000010","45-64 years","All","Stroke",NA,NA,"East Lothian"
"237",2009,"S12000010","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"238",2009,"S12000010","45-64 years","Male","Cerebrovascular Disease",NA,NA,"East Lothian"
"239",2009,"S12000010","45-64 years","Male","Stroke",NA,NA,"East Lothian"
"240",2009,"S12000010","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"241",2009,"S12000010","45-64 years","Female","Cerebrovascular Disease",NA,NA,"East Lothian"
"242",2009,"S12000010","45-64 years","Female","Stroke",NA,NA,"East Lothian"
"243",2009,"S12000010","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"244",2009,"S12000010","65-74 years","All","Cerebrovascular Disease",NA,NA,"East Lothian"
"245",2009,"S12000010","65-74 years","All","Stroke",NA,NA,"East Lothian"
"246",2009,"S12000010","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"247",2009,"S12000010","65-74 years","Male","Cerebrovascular Disease",NA,NA,"East Lothian"
"248",2009,"S12000010","65-74 years","Male","Stroke",NA,NA,"East Lothian"
"249",2009,"S12000010","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"East Lothian"
"250",2009,"S12000010","65-74 years","Female","Cerebrovascular Disease",NA,NA,"East Lothian"
"251",2009,"S12000010","65-74 years","Female","Stroke",NA,NA,"East Lothian"
"252",2009,"S12000010","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"253",2009,"S12000010","under75 years","All","Cerebrovascular Disease",NA,NA,"East Lothian"
"254",2009,"S12000010","under75 years","All","Stroke",NA,NA,"East Lothian"
"255",2009,"S12000010","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"256",2009,"S12000010","under75 years","Male","Cerebrovascular Disease",NA,NA,"East Lothian"
"257",2009,"S12000010","under75 years","Male","Stroke",NA,NA,"East Lothian"
"258",2009,"S12000010","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"259",2009,"S12000010","under75 years","Female","Cerebrovascular Disease",NA,NA,"East Lothian"
"260",2009,"S12000010","under75 years","Female","Stroke",NA,NA,"East Lothian"
"261",2009,"S12000010","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"262",2009,"S12000010","75plus years","All","Cerebrovascular Disease",NA,NA,"East Lothian"
"263",2009,"S12000010","75plus years","All","Stroke",NA,NA,"East Lothian"
"264",2009,"S12000010","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"265",2009,"S12000010","75plus years","Male","Cerebrovascular Disease",NA,NA,"East Lothian"
"266",2009,"S12000010","75plus years","Male","Stroke",NA,NA,"East Lothian"
"267",2009,"S12000010","75plus years","Male","Subarachnoid Haemorrhage",0,0,"East Lothian"
"268",2009,"S12000010","75plus years","Female","Cerebrovascular Disease",NA,NA,"East Lothian"
"269",2009,"S12000010","75plus years","Female","Stroke",NA,NA,"East Lothian"
"270",2009,"S12000010","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"East Lothian"
"271",2009,"S12000011","All","All","Cerebrovascular Disease",86,95.58,"East Renfrewshire"
"272",2009,"S12000011","All","All","Stroke",42,46.68,"East Renfrewshire"
"273",2009,"S12000011","All","All","Subarachnoid Haemorrhage",4,4.45,"East Renfrewshire"
"274",2009,"S12000011","All","Male","Cerebrovascular Disease",34,79.25,"East Renfrewshire"
"275",2009,"S12000011","All","Male","Stroke",14,32.63,"East Renfrewshire"
"276",2009,"S12000011","All","Male","Subarachnoid Haemorrhage",2,4.66,"East Renfrewshire"
"277",2009,"S12000011","All","Female","Cerebrovascular Disease",52,110.46,"East Renfrewshire"
"278",2009,"S12000011","All","Female","Stroke",28,59.48,"East Renfrewshire"
"279",2009,"S12000011","All","Female","Subarachnoid Haemorrhage",2,4.25,"East Renfrewshire"
"280",2009,"S12000011","0-44 years","All","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"281",2009,"S12000011","0-44 years","All","Stroke",NA,NA,"East Renfrewshire"
"282",2009,"S12000011","0-44 years","All","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"283",2009,"S12000011","0-44 years","Male","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"284",2009,"S12000011","0-44 years","Male","Stroke",NA,NA,"East Renfrewshire"
"285",2009,"S12000011","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"286",2009,"S12000011","0-44 years","Female","Cerebrovascular Disease",0,0,"East Renfrewshire"
"287",2009,"S12000011","0-44 years","Female","Stroke",0,0,"East Renfrewshire"
"288",2009,"S12000011","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"289",2009,"S12000011","45-64 years","All","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"290",2009,"S12000011","45-64 years","All","Stroke",NA,NA,"East Renfrewshire"
"291",2009,"S12000011","45-64 years","All","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"292",2009,"S12000011","45-64 years","Male","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"293",2009,"S12000011","45-64 years","Male","Stroke",NA,NA,"East Renfrewshire"
"294",2009,"S12000011","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"295",2009,"S12000011","45-64 years","Female","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"296",2009,"S12000011","45-64 years","Female","Stroke",NA,NA,"East Renfrewshire"
"297",2009,"S12000011","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"298",2009,"S12000011","65-74 years","All","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"299",2009,"S12000011","65-74 years","All","Stroke",NA,NA,"East Renfrewshire"
"300",2009,"S12000011","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"East Renfrewshire"
"301",2009,"S12000011","65-74 years","Male","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"302",2009,"S12000011","65-74 years","Male","Stroke",NA,NA,"East Renfrewshire"
"303",2009,"S12000011","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,"East Renfrewshire"
"304",2009,"S12000011","65-74 years","Female","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
"305",2009,"S12000011","65-74 years","Female","Stroke",0,0,"East Renfrewshire"
"306",2009,"S12000011","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"East Renfrewshire"
"307",2009,"S12000011","under75 years","All","Cerebrovascular Disease",NA,NA,"East Renfrewshire"
