"","year","hbr","age_group","sex","diagnosis","number_of_deaths","crude_rate","HBName"
"116",2009,"S08000016","All","Female","Stroke",35,59.64655,"NHS Borders"
"117",2009,"S08000016","All","Female","Subarachnoid Haemorrhage",5,8.520936,"NHS Borders"
"118",2009,"S08000016","0-44 years","All","Cerebrovascular Disease",0,0,"NHS Borders"
"119",2009,"S08000016","0-44 years","All","Stroke",0,0,"NHS Borders"
"120",2009,"S08000016","0-44 years","All","Subarachnoid Haemorrhage",0,0,"NHS Borders"
"121",2009,"S08000016","0-44 years","Male","Cerebrovascular Disease",0,0,"NHS Borders"
"122",2009,"S08000016","0-44 years","Male","Stroke",0,0,"NHS Borders"
"123",2009,"S08000016","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Borders"
"124",2009,"S08000016","0-44 years","Female","Cerebrovascular Disease",0,0,"NHS Borders"
"125",2009,"S08000016","0-44 years","Female","Stroke",0,0,"NHS Borders"
"126",2009,"S08000016","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Borders"
"127",2009,"S08000016","45-64 years","All","Cerebrovascular Disease",10,29.57442,"NHS Borders"
"128",2009,"S08000016","45-64 years","All","Stroke",5,14.78721,"NHS Borders"
"129",2009,"S08000016","45-64 years","All","Subarachnoid Haemorrhage",2,5.914885,"NHS Borders"
"130",2009,"S08000016","45-64 years","Male","Cerebrovascular Disease",5,29.9958,"NHS Borders"
"131",2009,"S08000016","45-64 years","Male","Stroke",2,11.99832,"NHS Borders"
"132",2009,"S08000016","45-64 years","Male","Subarachnoid Haemorrhage",1,5.99916,"NHS Borders"
"133",2009,"S08000016","45-64 years","Female","Cerebrovascular Disease",5,29.16472,"NHS Borders"
"134",2009,"S08000016","45-64 years","Female","Stroke",3,17.49883,"NHS Borders"
"135",2009,"S08000016","45-64 years","Female","Subarachnoid Haemorrhage",1,5.832944,"NHS Borders"
"136",2009,"S08000016","65-74 years","All","Cerebrovascular Disease",7,56.04484,"NHS Borders"
"137",2009,"S08000016","65-74 years","All","Stroke",4,32.02562,"NHS Borders"
"138",2009,"S08000016","65-74 years","All","Subarachnoid Haemorrhage",1,8.006405,"NHS Borders"
"139",2009,"S08000016","65-74 years","Male","Cerebrovascular Disease",1,16.86341,"NHS Borders"
"140",2009,"S08000016","65-74 years","Male","Stroke",1,16.86341,"NHS Borders"
"141",2009,"S08000016","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Borders"
"142",2009,"S08000016","65-74 years","Female","Cerebrovascular Disease",6,91.46341,"NHS Borders"
"143",2009,"S08000016","65-74 years","Female","Stroke",3,45.73171,"NHS Borders"
"144",2009,"S08000016","65-74 years","Female","Subarachnoid Haemorrhage",1,15.2439,"NHS Borders"
"145",2009,"S08000016","under75 years","All","Cerebrovascular Disease",17,16.49845,"NHS Borders"
"146",2009,"S08000016","under75 years","All","Stroke",9,8.734472,"NHS Borders"
"147",2009,"S08000016","under75 years","All","Subarachnoid Haemorrhage",3,2.911491,"NHS Borders"
"148",2009,"S08000016","under75 years","Male","Cerebrovascular Disease",6,11.84787,"NHS Borders"
"149",2009,"S08000016","under75 years","Male","Stroke",3,5.923937,"NHS Borders"
"150",2009,"S08000016","under75 years","Male","Subarachnoid Haemorrhage",1,1.974646,"NHS Borders"
"151",2009,"S08000016","under75 years","Female","Cerebrovascular Disease",11,20.99317,"NHS Borders"
"152",2009,"S08000016","under75 years","Female","Stroke",6,11.45082,"NHS Borders"
"153",2009,"S08000016","under75 years","Female","Subarachnoid Haemorrhage",2,3.81694,"NHS Borders"
"154",2009,"S08000016","75plus years","All","Cerebrovascular Disease",79,748.8152,"NHS Borders"
"155",2009,"S08000016","75plus years","All","Stroke",46,436.019,"NHS Borders"
"156",2009,"S08000016","75plus years","All","Subarachnoid Haemorrhage",4,37.91469,"NHS Borders"
"157",2009,"S08000016","75plus years","Male","Cerebrovascular Disease",26,609.0419,"NHS Borders"
"158",2009,"S08000016","75plus years","Male","Stroke",17,398.2197,"NHS Borders"
"159",2009,"S08000016","75plus years","Male","Subarachnoid Haemorrhage",1,23.42469,"NHS Borders"
"160",2009,"S08000016","75plus years","Female","Cerebrovascular Disease",53,843.8147,"NHS Borders"
"161",2009,"S08000016","75plus years","Female","Stroke",29,461.7099,"NHS Borders"
"162",2009,"S08000016","75plus years","Female","Subarachnoid Haemorrhage",3,47.7631,"NHS Borders"
"163",2009,"S08000017","All","All","Cerebrovascular Disease",153,101.2173,"NHS Dumfries and Galloway"
"164",2009,"S08000017","All","All","Stroke",97,64.17042,"NHS Dumfries and Galloway"
"165",2009,"S08000017","All","All","Subarachnoid Haemorrhage",8,5.292405,"NHS Dumfries and Galloway"
"166",2009,"S08000017","All","Male","Cerebrovascular Disease",55,75.15817,"NHS Dumfries and Galloway"
"167",2009,"S08000017","All","Male","Stroke",31,42.36188,"NHS Dumfries and Galloway"
"168",2009,"S08000017","All","Male","Subarachnoid Haemorrhage",1,1.366512,"NHS Dumfries and Galloway"
"169",2009,"S08000017","All","Female","Cerebrovascular Disease",98,125.6716,"NHS Dumfries and Galloway"
"170",2009,"S08000017","All","Female","Stroke",66,84.636,"NHS Dumfries and Galloway"
"171",2009,"S08000017","All","Female","Subarachnoid Haemorrhage",7,8.976546,"NHS Dumfries and Galloway"
"172",2009,"S08000017","0-44 years","All","Cerebrovascular Disease",2,2.706323,"NHS Dumfries and Galloway"
"173",2009,"S08000017","0-44 years","All","Stroke",1,1.353162,"NHS Dumfries and Galloway"
"174",2009,"S08000017","0-44 years","All","Subarachnoid Haemorrhage",1,1.353162,"NHS Dumfries and Galloway"
"175",2009,"S08000017","0-44 years","Male","Cerebrovascular Disease",1,2.723608,"NHS Dumfries and Galloway"
"176",2009,"S08000017","0-44 years","Male","Stroke",1,2.723608,"NHS Dumfries and Galloway"
"177",2009,"S08000017","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Dumfries and Galloway"
"178",2009,"S08000017","0-44 years","Female","Cerebrovascular Disease",1,2.689256,"NHS Dumfries and Galloway"
"179",2009,"S08000017","0-44 years","Female","Stroke",0,0,"NHS Dumfries and Galloway"
"180",2009,"S08000017","0-44 years","Female","Subarachnoid Haemorrhage",1,2.689256,"NHS Dumfries and Galloway"
"181",2009,"S08000017","45-64 years","All","Cerebrovascular Disease",11,24.45749,"NHS Dumfries and Galloway"
"182",2009,"S08000017","45-64 years","All","Stroke",7,15.56386,"NHS Dumfries and Galloway"
"183",2009,"S08000017","45-64 years","All","Subarachnoid Haemorrhage",4,8.893632,"NHS Dumfries and Galloway"
"184",2009,"S08000017","45-64 years","Male","Cerebrovascular Disease",6,27.30624,"NHS Dumfries and Galloway"
"185",2009,"S08000017","45-64 years","Male","Stroke",5,22.7552,"NHS Dumfries and Galloway"
"186",2009,"S08000017","45-64 years","Male","Subarachnoid Haemorrhage",1,4.55104,"NHS Dumfries and Galloway"
"187",2009,"S08000017","45-64 years","Female","Cerebrovascular Disease",5,21.7363,"NHS Dumfries and Galloway"
"188",2009,"S08000017","45-64 years","Female","Stroke",2,8.694518,"NHS Dumfries and Galloway"
"189",2009,"S08000017","45-64 years","Female","Subarachnoid Haemorrhage",3,13.04178,"NHS Dumfries and Galloway"
"190",2009,"S08000017","65-74 years","All","Cerebrovascular Disease",19,107.5512,"NHS Dumfries and Galloway"
"191",2009,"S08000017","65-74 years","All","Stroke",15,84.90886,"NHS Dumfries and Galloway"
"192",2009,"S08000017","65-74 years","All","Subarachnoid Haemorrhage",1,5.660591,"NHS Dumfries and Galloway"
"193",2009,"S08000017","65-74 years","Male","Cerebrovascular Disease",7,82.15962,"NHS Dumfries and Galloway"
"194",2009,"S08000017","65-74 years","Male","Stroke",5,58.68545,"NHS Dumfries and Galloway"
"195",2009,"S08000017","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Dumfries and Galloway"
"196",2009,"S08000017","65-74 years","Female","Cerebrovascular Disease",12,131.2049,"NHS Dumfries and Galloway"
"197",2009,"S08000017","65-74 years","Female","Stroke",10,109.3374,"NHS Dumfries and Galloway"
"198",2009,"S08000017","65-74 years","Female","Subarachnoid Haemorrhage",1,10.93374,"NHS Dumfries and Galloway"
"199",2009,"S08000017","under75 years","All","Cerebrovascular Disease",32,23.43584,"NHS Dumfries and Galloway"
"200",2009,"S08000017","under75 years","All","Stroke",23,16.84451,"NHS Dumfries and Galloway"
"201",2009,"S08000017","under75 years","All","Subarachnoid Haemorrhage",6,4.39422,"NHS Dumfries and Galloway"
"202",2009,"S08000017","under75 years","Male","Cerebrovascular Disease",14,20.83054,"NHS Dumfries and Galloway"
"203",2009,"S08000017","under75 years","Male","Stroke",11,16.36686,"NHS Dumfries and Galloway"
"204",2009,"S08000017","under75 years","Male","Subarachnoid Haemorrhage",1,1.487896,"NHS Dumfries and Galloway"
"205",2009,"S08000017","under75 years","Female","Cerebrovascular Disease",18,25.96129,"NHS Dumfries and Galloway"
"206",2009,"S08000017","under75 years","Female","Stroke",12,17.30753,"NHS Dumfries and Galloway"
"207",2009,"S08000017","under75 years","Female","Subarachnoid Haemorrhage",5,7.211469,"NHS Dumfries and Galloway"
"208",2009,"S08000017","75plus years","All","Cerebrovascular Disease",121,827.8032,"NHS Dumfries and Galloway"
"209",2009,"S08000017","75plus years","All","Stroke",74,506.2598,"NHS Dumfries and Galloway"
"210",2009,"S08000017","75plus years","All","Subarachnoid Haemorrhage",2,13.6827,"NHS Dumfries and Galloway"
"211",2009,"S08000017","75plus years","Male","Cerebrovascular Disease",41,686.7672,"NHS Dumfries and Galloway"
"212",2009,"S08000017","75plus years","Male","Stroke",20,335.0084,"NHS Dumfries and Galloway"
"213",2009,"S08000017","75plus years","Male","Subarachnoid Haemorrhage",0,0,"NHS Dumfries and Galloway"
"214",2009,"S08000017","75plus years","Female","Cerebrovascular Disease",80,925.1764,"NHS Dumfries and Galloway"
"215",2009,"S08000017","75plus years","Female","Stroke",54,624.494,"NHS Dumfries and Galloway"
"216",2009,"S08000017","75plus years","Female","Subarachnoid Haemorrhage",2,23.12941,"NHS Dumfries and Galloway"
"217",2009,"S08000018","All","All","Cerebrovascular Disease",321,88.81634,"NHS Fife"
"218",2009,"S08000018","All","All","Stroke",179,49.52687,"NHS Fife"
"219",2009,"S08000018","All","All","Subarachnoid Haemorrhage",10,2.766864,"NHS Fife"
"220",2009,"S08000018","All","Male","Cerebrovascular Disease",119,68.15032,"NHS Fife"
"221",2009,"S08000018","All","Male","Stroke",59,33.78881,"NHS Fife"
"222",2009,"S08000018","All","Male","Subarachnoid Haemorrhage",2,1.145384,"NHS Fife"
"223",2009,"S08000018","All","Female","Cerebrovascular Disease",202,108.1336,"NHS Fife"
"224",2009,"S08000018","All","Female","Stroke",120,64.23777,"NHS Fife"
"225",2009,"S08000018","All","Female","Subarachnoid Haemorrhage",8,4.282518,"NHS Fife"
"226",2009,"S08000018","0-44 years","All","Cerebrovascular Disease",2,1.002597,"NHS Fife"
"227",2009,"S08000018","0-44 years","All","Stroke",0,0,"NHS Fife"
"228",2009,"S08000018","0-44 years","All","Subarachnoid Haemorrhage",2,1.002597,"NHS Fife"
"229",2009,"S08000018","0-44 years","Male","Cerebrovascular Disease",0,0,"NHS Fife"
"230",2009,"S08000018","0-44 years","Male","Stroke",0,0,"NHS Fife"
"231",2009,"S08000018","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Fife"
"232",2009,"S08000018","0-44 years","Female","Cerebrovascular Disease",2,1.988823,"NHS Fife"
"233",2009,"S08000018","0-44 years","Female","Stroke",0,0,"NHS Fife"
"234",2009,"S08000018","0-44 years","Female","Subarachnoid Haemorrhage",2,1.988823,"NHS Fife"
"235",2009,"S08000018","45-64 years","All","Cerebrovascular Disease",13,13.03141,"NHS Fife"
"236",2009,"S08000018","45-64 years","All","Stroke",8,8.019327,"NHS Fife"
"237",2009,"S08000018","45-64 years","All","Subarachnoid Haemorrhage",3,3.007247,"NHS Fife"
"238",2009,"S08000018","45-64 years","Male","Cerebrovascular Disease",5,10.25031,"NHS Fife"
"239",2009,"S08000018","45-64 years","Male","Stroke",2,4.100125,"NHS Fife"
"240",2009,"S08000018","45-64 years","Male","Subarachnoid Haemorrhage",1,2.050063,"NHS Fife"
"241",2009,"S08000018","45-64 years","Female","Cerebrovascular Disease",8,15.69243,"NHS Fife"
"242",2009,"S08000018","45-64 years","Female","Stroke",6,11.76932,"NHS Fife"
"243",2009,"S08000018","45-64 years","Female","Subarachnoid Haemorrhage",2,3.923107,"NHS Fife"
"244",2009,"S08000018","65-74 years","All","Cerebrovascular Disease",39,114.3025,"NHS Fife"
"245",2009,"S08000018","65-74 years","All","Stroke",29,84.99414,"NHS Fife"
"246",2009,"S08000018","65-74 years","All","Subarachnoid Haemorrhage",2,5.861665,"NHS Fife"
"247",2009,"S08000018","65-74 years","Male","Cerebrovascular Disease",16,100.0688,"NHS Fife"
"248",2009,"S08000018","65-74 years","Male","Stroke",10,62.543,"NHS Fife"
"249",2009,"S08000018","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Fife"
"250",2009,"S08000018","65-74 years","Female","Cerebrovascular Disease",23,126.8546,"NHS Fife"
"251",2009,"S08000018","65-74 years","Female","Stroke",19,104.7929,"NHS Fife"
"252",2009,"S08000018","65-74 years","Female","Subarachnoid Haemorrhage",2,11.03083,"NHS Fife"
"253",2009,"S08000018","under75 years","All","Cerebrovascular Disease",54,16.19866,"NHS Fife"
"254",2009,"S08000018","under75 years","All","Stroke",37,11.09908,"NHS Fife"
"255",2009,"S08000018","under75 years","All","Subarachnoid Haemorrhage",7,2.099826,"NHS Fife"
"256",2009,"S08000018","under75 years","Male","Cerebrovascular Disease",21,12.82928,"NHS Fife"
"257",2009,"S08000018","under75 years","Male","Stroke",12,7.33102,"NHS Fife"
"258",2009,"S08000018","under75 years","Male","Subarachnoid Haemorrhage",1,0.610918,"NHS Fife"
"259",2009,"S08000018","under75 years","Female","Cerebrovascular Disease",33,19.44918,"NHS Fife"
"260",2009,"S08000018","under75 years","Female","Stroke",25,14.73422,"NHS Fife"
"261",2009,"S08000018","under75 years","Female","Subarachnoid Haemorrhage",6,3.536214,"NHS Fife"
"262",2009,"S08000018","75plus years","All","Cerebrovascular Disease",267,951.5663,"NHS Fife"
"263",2009,"S08000018","75plus years","All","Stroke",142,506.0765,"NHS Fife"
"264",2009,"S08000018","75plus years","All","Subarachnoid Haemorrhage",3,10.69176,"NHS Fife"
"265",2009,"S08000018","75plus years","Male","Cerebrovascular Disease",98,896.9431,"NHS Fife"
"266",2009,"S08000018","75plus years","Male","Stroke",47,430.1666,"NHS Fife"
"267",2009,"S08000018","75plus years","Male","Subarachnoid Haemorrhage",1,9.15248,"NHS Fife"
"268",2009,"S08000018","75plus years","Female","Cerebrovascular Disease",169,986.4005,"NHS Fife"
"269",2009,"S08000018","75plus years","Female","Stroke",95,554.4855,"NHS Fife"
"270",2009,"S08000018","75plus years","Female","Subarachnoid Haemorrhage",2,11.67338,"NHS Fife"
"271",2009,"S08000019","All","All","Cerebrovascular Disease",283,96.19634,"NHS Forth Valley"
"272",2009,"S08000019","All","All","Stroke",149,50.64754,"NHS Forth Valley"
"273",2009,"S08000019","All","All","Subarachnoid Haemorrhage",9,3.059247,"NHS Forth Valley"
"274",2009,"S08000019","All","Male","Cerebrovascular Disease",87,61.02266,"NHS Forth Valley"
"275",2009,"S08000019","All","Male","Stroke",44,30.86203,"NHS Forth Valley"
"276",2009,"S08000019","All","Male","Subarachnoid Haemorrhage",2,1.40282,"NHS Forth Valley"
"277",2009,"S08000019","All","Female","Cerebrovascular Disease",196,129.2705,"NHS Forth Valley"
"278",2009,"S08000019","All","Female","Stroke",105,69.25208,"NHS Forth Valley"
"279",2009,"S08000019","All","Female","Subarachnoid Haemorrhage",7,4.616805,"NHS Forth Valley"
"280",2009,"S08000019","0-44 years","All","Cerebrovascular Disease",5,2.997189,"NHS Forth Valley"
"281",2009,"S08000019","0-44 years","All","Stroke",1,0.599438,"NHS Forth Valley"
"282",2009,"S08000019","0-44 years","All","Subarachnoid Haemorrhage",3,1.798313,"NHS Forth Valley"
"283",2009,"S08000019","0-44 years","Male","Cerebrovascular Disease",2,2.412603,"NHS Forth Valley"
"284",2009,"S08000019","0-44 years","Male","Stroke",0,0,"NHS Forth Valley"
"285",2009,"S08000019","0-44 years","Male","Subarachnoid Haemorrhage",1,1.206302,"NHS Forth Valley"
"286",2009,"S08000019","0-44 years","Female","Cerebrovascular Disease",3,3.57462,"NHS Forth Valley"
"287",2009,"S08000019","0-44 years","Female","Stroke",1,1.19154,"NHS Forth Valley"
"288",2009,"S08000019","0-44 years","Female","Subarachnoid Haemorrhage",2,2.38308,"NHS Forth Valley"
"289",2009,"S08000019","45-64 years","All","Cerebrovascular Disease",15,18.81444,"NHS Forth Valley"
"290",2009,"S08000019","45-64 years","All","Stroke",8,10.03437,"NHS Forth Valley"
"291",2009,"S08000019","45-64 years","All","Subarachnoid Haemorrhage",3,3.762888,"NHS Forth Valley"
